status,sort,user_created,date_created,user_updated,date_updated,chapter,section,title,actual_page,toc_page,url
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Chapter 3,,Chapter 3: Valuation Standards for Electrical Generation,20,20,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,3.1,If You Sell Geothermal Resources at Arm's- Length that the Purchaser Uses to Generate,20,20,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,Example 3-1,Valuing Geothermally- Produced Electricity Sold Under an Arm's-Length Contract to a Power Plant.,21,21,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,3.2,If You Use the Geothermal Resources in Your Own Power Plant for the Generation and Sale of Electricity- Percent of Gross Proceeds Method,21,21,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,Example 3-2,Valuing Electricity produced from your unit in your own power plant using your own geothermal,22,22,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,3.2.1 ,Electricity Value,23,23,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,3.3,Advanced Royalty ,23,23,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,Example 3-3,Advanced royalties for cessation of production,23,23,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,3.4,Credit for "in-kind" delivery of electricity to states or counties,24,24,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,3.5, Improper Valuations,24,24,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,3.6, How Do I Request a Value Determination or Gross Proceeds Determination?,25,25,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,3.7,Recordkeeping and Availability,25,25,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,3.8,Dismantlement Cost Refunds,26,26,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Chapter 4,,Chapter 4: Valuation Standards for Direct Use,27,27,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,4.1,Arm's-Length Sales ,27,27,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,Example 4.1,Arm's Length Sales,28,28,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,4.2,If you use the Geothermal Resource for your own Direct- Use purpose,29,29,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,4.2.1 ,Direct Use Fee Schedule,29,29,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,Example 4-2, Calculating direct use fees ,30,30,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Chapter 5,,Chapter 5: Byproduct Valuation,31,31,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,5.1,Byproduct Royalty Rates,31,31,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,,Appendices,,,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Appendix A,,Appendix A: Class 2 & 3 Definition of Terms,33,33,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Appendix B,,Appendix B: Important Addresses,37,37,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,,Supplemental Reporting Guidance,,,/document/Class-2-3-Handbook.pdf
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,,Abbreviations Class 2-3,32,32,/document/Class-2-3-Handbook.pdf
