status,sort,user_created,date_created,user_updated,date_updated,spreadsheet,date,index_zones
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,,2021-05-01,"[{ ""abbreviation"": ""OK 1"", ""index_zone"": ""Oklahoma Zone 1"", ""month"": ""May"", ""price"": 2.48 },{ ""abbreviation"": ""OK 2"", ""index_zone"": ""Oklahoma Zone 2"", ""month"": ""May"", ""price"": 2.48 },{ ""abbreviation"": ""OK 3"", ""index_zone"": ""Oklahoma Zone 3"", ""month"": ""May"", ""price"": 2.48 },{ ""abbreviation"": ""CRM"", ""index_zone"": ""Central Rocky Mountains (Ute Allotted and Tribal*)"", ""month"": ""May"", ""price"": 2.51 },{ ""abbreviation"": ""NRM"", ""index_zone"": ""Northern Rocky Mountains"", ""month"": ""May"", ""price"": 2.37 },{ ""abbreviation"": ""San Juan Basin"", ""index_zone"": ""San Juan Basin"", ""month"": ""May"", ""price"": 2.48 }]"
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,,2021-04-01,"[{ ""abbreviation"": ""OK 1"", ""index_zone"": ""Oklahoma Zone 1"", ""month"": ""April"", ""price"": 2.15 },{ ""abbreviation"": ""OK 2"", ""index_zone"": ""Oklahoma Zone 2"", ""month"": ""April"", ""price"": 2.15 },{ ""abbreviation"": ""OK 3"", ""index_zone"": ""Oklahoma Zone 3"", ""month"": ""April"", ""price"": 2.15 },{ ""abbreviation"": ""CRM"", ""index_zone"": ""Central Rocky Mountains (Ute Allotted and Tribal*)"", ""month"": ""April"", ""price"": 2.14 },{ ""abbreviation"": ""NRM"", ""index_zone"": ""Northern Rocky Mountains"", ""month"": ""April"", ""price"": 2.02 },{ ""abbreviation"": ""San Juan Basin"", ""index_zone"": ""San Juan Basin"", ""month"": ""April"", ""price"": 2.18 }]"
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,,2021-03-01,"[{ ""abbreviation"": ""OK 1"", ""index_zone"": ""Oklahoma Zone 1"", ""month"": ""March"", ""price"": 2.65 },{ ""abbreviation"": ""OK 2"", ""index_zone"": ""Oklahoma Zone 2"", ""month"": ""March"", ""price"": 2.65 },{ ""abbreviation"": ""OK 3"", ""index_zone"": ""Oklahoma Zone 3"", ""month"": ""March"", ""price"": 2.65 },{ ""abbreviation"": ""CRM"", ""index_zone"": ""Central Rocky Mountains (Ute Allotted and Tribal*)"", ""month"": ""March"", ""price"": 2.73 },{ ""abbreviation"": ""NRM"", ""index_zone"": ""Northern Rocky Mountains"", ""month"": ""March"", ""price"": 2.68 },{ ""abbreviation"": ""San Juan Basin"", ""index_zone"": ""San Juan Basin"", ""month"": ""March"", ""price"": 2.75 }]"
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,,2021-02-01,"[{ ""abbreviation"": ""OK 1"", ""index_zone"": ""Oklahoma Zone 1"", ""month"": ""February"", ""price"": 2.39 },{ ""abbreviation"": ""OK 2"", ""index_zone"": ""Oklahoma Zone 2"", ""month"": ""February"", ""price"": 2.39 },{ ""abbreviation"": ""OK 3"", ""index_zone"": ""Oklahoma Zone 3"", ""month"": ""February"", ""price"": 2.36 },{ ""abbreviation"": ""CRM"", ""index_zone"": ""Central Rocky Mountains (Ute Allotted and Tribal*)"", ""month"": ""February"", ""price"": 2.43 },{ ""abbreviation"": ""NRM"", ""index_zone"": ""Northern Rocky Mountains"", ""month"": ""February"", ""price"": 2.19 },{ ""abbreviation"": ""San Juan Basin"", ""index_zone"": ""San Juan Basin"", ""month"": ""February"", ""price"": 2.46 }]"
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,,2021-01-01,"[{ ""abbreviation"": ""OK 1"", ""index_zone"": ""Oklahoma Zone 1"", ""month"": ""January"", ""price"": 2.17 },{ ""abbreviation"": ""OK 2"", ""index_zone"": ""Oklahoma Zone 2"", ""month"": ""January"", ""price"": 2.17 },{ ""abbreviation"": ""OK 3"", ""index_zone"": ""Oklahoma Zone 3"", ""month"": ""January"", ""price"": 2.13 },{ ""abbreviation"": ""CRM"", ""index_zone"": ""Central Rocky Mountains (Ute Allotted and Tribal*)"", ""month"": ""January"", ""price"": 2.77 },{ ""abbreviation"": ""NRM"", ""index_zone"": ""Northern Rocky Mountains"", ""month"": ""January"", ""price"": 2.2 },{ ""abbreviation"": ""San Juan Basin"", ""index_zone"": ""San Juan Basin"", ""month"": ""January"", ""price"": 2.41 }]"
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,,2020-12-01,"[{ ""abbreviation"": ""OK 1"", ""index_zone"": ""Oklahoma Zone 1"", ""month"": ""December"", ""price"": 2.38 },{ ""abbreviation"": ""OK 2"", ""index_zone"": ""Oklahoma Zone 2"", ""month"": ""December"", ""price"": 2.38 },{ ""abbreviation"": ""OK 3"", ""index_zone"": ""Oklahoma Zone 3"", ""month"": ""December"", ""price"": 2.4 },{ ""abbreviation"": ""CRM"", ""index_zone"": ""Central Rocky Mountains (Ute Allotted and Tribal*)"", ""month"": ""December"", ""price"": 2.66 },{ ""abbreviation"": ""NRM"", ""index_zone"": ""Northern Rocky Mountains"", ""month"": ""December"", ""price"": 2.18 },{ ""abbreviation"": ""San Juan Basin"", ""index_zone"": ""San Juan Basin"", ""month"": ""December"", ""price"": 2.41 }]"
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,,2020-11-01,"[{ ""abbreviation"": ""OK 1"", ""index_zone"": ""Oklahoma Zone 1"", ""month"": ""November"", ""price"": 2.55 },{ ""abbreviation"": ""OK 2"", ""index_zone"": ""Oklahoma Zone 2"", ""month"": ""November"", ""price"": 2.55 },{ ""abbreviation"": ""OK 3"", ""index_zone"": ""Oklahoma Zone 3"", ""month"": ""November"", ""price"": 2.49 },{ ""abbreviation"": ""CRM"", ""index_zone"": ""Central Rocky Mountains (Ute Allotted and Tribal*)"", ""month"": ""November"", ""price"": 2.8 },{ ""abbreviation"": ""NRM"", ""index_zone"": ""Northern Rocky Mountains"", ""month"": ""November"", ""price"": 2.53 },{ ""abbreviation"": ""San Juan Basin"", ""index_zone"": ""San Juan Basin"", ""month"": ""November"", ""price"": 2.54 }]"
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,,2020-10-01,"[{ ""abbreviation"": ""OK 1"", ""index_zone"": ""Oklahoma Zone 1"", ""month"": ""October"", ""price"": 1.7 },{ ""abbreviation"": ""OK 2"", ""index_zone"": ""Oklahoma Zone 2"", ""month"": ""October"", ""price"": 1.7 },{ ""abbreviation"": ""OK 3"", ""index_zone"": ""Oklahoma Zone 3"", ""month"": ""October"", ""price"": 1.64 },{ ""abbreviation"": ""CRM"", ""index_zone"": ""Central Rocky Mountains (Ute Allotted and Tribal*)"", ""month"": ""October"", ""price"": 2.01 },{ ""abbreviation"": ""NRM"", ""index_zone"": ""Northern Rocky Mountains"", ""month"": ""October"", ""price"": 1.79 },{ ""abbreviation"": ""San Juan Basin"", ""index_zone"": ""San Juan Basin"", ""month"": ""October"", ""price"": 1.84 }]"
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,,2020-09-01,"[{ ""abbreviation"": ""OK 1"", ""index_zone"": ""Oklahoma Zone 1"", ""month"": ""September"", ""price"": 2.05 },{ ""abbreviation"": ""OK 2"", ""index_zone"": ""Oklahoma Zone 2"", ""month"": ""September"", ""price"": 2.05 },{ ""abbreviation"": ""OK 3"", ""index_zone"": ""Oklahoma Zone 3"", ""month"": ""September"", ""price"": 2.08 },{ ""abbreviation"": ""CRM"", ""index_zone"": ""Central Rocky Mountains (Ute Allotted and Tribal*)"", ""month"": ""September"", ""price"": 2.14 },{ ""abbreviation"": ""NRM"", ""index_zone"": ""Northern Rocky Mountains"", ""month"": ""September"", ""price"": 2 },{ ""abbreviation"": ""San Juan Basin"", ""index_zone"": ""San Juan Basin"", ""month"": ""September"", ""price"": 2.07 }]"
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-03-16 17:00:00.000+00,,2020-08-01,"[{ ""abbreviation"": ""OK 1"", ""index_zone"": ""Oklahoma Zone 1"", ""month"": ""August"", ""price"": 1.5 },{ ""abbreviation"": ""OK 2"", ""index_zone"": ""Oklahoma Zone 2"", ""month"": ""August"", ""price"": 1.5 },{ ""abbreviation"": ""OK 3"", ""index_zone"": ""Oklahoma Zone 3"", ""month"": ""August"", ""price"": 1.56 },{ ""abbreviation"": ""CRM"", ""index_zone"": ""Central Rocky Mountains (Ute Allotted and Tribal*)"", ""month"": ""August"", ""price"": 1.51 },{ ""abbreviation"": ""NRM"", ""index_zone"": ""Northern Rocky Mountains"", ""month"": ""August"", ""price"": 1.46 },{ ""abbreviation"": ""San Juan Basin"", ""index_zone"": ""San Juan Basin"", ""month"": ""August"", ""price"": 1.49 }]"
