status,sort,user_created,date_created,user_updated,date_updated,chapter,section,title,actual_page,toc_page,url
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,3.3,Where to Send Your Completed Paper Form ONRR-4430 ,34,3-18,/document/SMRH.Complete.Handbook.pdf#page=34
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Chapter 4,,"Chapter 4: Production and Royalty Report (P&R), Form ONRR-4430",35,4-1,/document/SMRH.Complete.Handbook.pdf#page=35
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,4.1,Form ONRR-4430 Objectives,35,4-1,/document/SMRH.Complete.Handbook.pdf#page=35
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,4.2,P&R Report Summary,36,4-2,/document/SMRH.Complete.Handbook.pdf#page=36
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,4.3,Mine Selection Page,37,4-3,/document/SMRH.Complete.Handbook.pdf#page=37
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,4.4,Guidance on Reporting in the Remaining Screens of the P&R,38,4-3,/document/SMRH.Complete.Handbook.pdf#page=38
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Chapter 5,,Chapter 5: Original P&R,38,5-1,/document/SMRH.Complete.Handbook.pdf#page=38
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,5.1,P&R Original Summary Page ,38,5-1,/document/SMRH.Complete.Handbook.pdf#page=38
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,5.2,Lease Level Detail Page,39,5-2,/document/SMRH.Complete.Handbook.pdf#page=39
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,5.2.1,Lease Level Data Input,40,5-3,/document/SMRH.Complete.Handbook.pdf#page=40
