legacy_id,name,fips_code,state,state_name,county,land_class,land_category,land_type,region_type,district_type,offshore_region,sort,creation_date,last_update_date
"88016","Utah, Uintah","49047","UT","Utah","Uintah","Federal","Onshore","Federal onshore","County","County","","UT2Ui","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88017","Utah, Utah","49049","UT","Utah","Utah","Federal","Onshore","Federal onshore","County","County","","UT2Ut","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88018","Utah, Wasatch","49051","UT","Utah","Wasatch","Federal","Onshore","Federal onshore","County","County","","UT2Wa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88019","Utah, Washington","49053","UT","Utah","Washington","Federal","Onshore","Federal onshore","County","County","","UT2Wa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88020","Utah, Wayne","49055","UT","Utah","Wayne","Federal","Onshore","Federal onshore","County","County","","UT2Wa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88021","Virginia, Dickenson","51051","VA","Virginia","Dickenson","Federal","Onshore","Federal onshore","County","County","","VA2Di","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88022","Virginia, Giles","51071","VA","Virginia","Giles","Federal","Onshore","Federal onshore","County","County","","VA2Gi","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88023","Virginia, Highland","51091","VA","Virginia","Highland","Federal","Onshore","Federal onshore","County","County","","VA2Hi","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88024","Virginia, Lee","51105","VA","Virginia","Lee","Federal","Onshore","Federal onshore","County","County","","VA2Le","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88025","Virginia, Wise","51195","VA","Virginia","Wise","Federal","Onshore","Federal onshore","County","County","","VA2Wi","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88026","Washington, Adams","53001","WA","Washington","Adams","Federal","Onshore","Federal onshore","County","County","","WA2Ad","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88027","Washington, Benton","53005","WA","Washington","Benton","Federal","Onshore","Federal onshore","County","County","","WA2Be","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88028","Washington, Chelan","53007","WA","Washington","Chelan","Federal","Onshore","Federal onshore","County","County","","WA2Ch","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88029","Washington, Douglas","53017","WA","Washington","Douglas","Federal","Onshore","Federal onshore","County","County","","WA2Do","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88030","Washington, Franklin","53021","WA","Washington","Franklin","Federal","Onshore","Federal onshore","County","County","","WA2Fr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88031","Washington, Grant","53025","WA","Washington","Grant","Federal","Onshore","Federal onshore","County","County","","WA2Gr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88032","Washington, Kittitas","53037","WA","Washington","Kittitas","Federal","Onshore","Federal onshore","County","County","","WA2Ki","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88033","Washington, Klickitat","53039","WA","Washington","Klickitat","Federal","Onshore","Federal onshore","County","County","","WA2Kl","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88034","Washington, Lewis","53041","WA","Washington","Lewis","Federal","Onshore","Federal onshore","County","County","","WA2Le","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88035","Washington, Walla Walla","53071","WA","Washington","Walla Walla","Federal","Onshore","Federal onshore","County","County","","WA2Wa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88036","Washington, Whatcom","53073","WA","Washington","Whatcom","Federal","Onshore","Federal onshore","County","County","","WA2Wh","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88037","Washington, Yakima","53077","WA","Washington","Yakima","Federal","Onshore","Federal onshore","County","County","","WA2Ya","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88039","West Virginia, Braxton","54007","WV","West Virginia","Braxton","Federal","Onshore","Federal onshore","County","County","","WV2Br","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88040","West Virginia, Grant","54023","WV","West Virginia","Grant","Federal","Onshore","Federal onshore","County","County","","WV2Gr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88041","West Virginia, Lewis","54041","WV","West Virginia","Lewis","Federal","Onshore","Federal onshore","County","County","","WV2Le","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88042","West Virginia, Mingo","54059","WV","West Virginia","Mingo","Federal","Onshore","Federal onshore","County","County","","WV2Mi","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88043","West Virginia, Pendleton","54071","WV","West Virginia","Pendleton","Federal","Onshore","Federal onshore","County","County","","WV2Pe","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88044","West Virginia, Pocahontas","54075","WV","West Virginia","Pocahontas","Federal","Onshore","Federal onshore","County","County","","WV2Po","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88045","West Virginia, Preston","54077","WV","West Virginia","Preston","Federal","Onshore","Federal onshore","County","County","","WV2Pr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88046","West Virginia, Randolph","54083","WV","West Virginia","Randolph","Federal","Onshore","Federal onshore","County","County","","WV2Ra","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88047","West Virginia, Tucker","54093","WV","West Virginia","Tucker","Federal","Onshore","Federal onshore","County","County","","WV2Tu","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
