legacy_id,creation_date,last_update_date,name,sort,mineral_lease_type,product
"15236","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Geothermal","Geoth","Geothermal","Geothermal - Direct Use (Hundreds of Gallons)"
"15237","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Geothermal","Geoth","Geothermal","Geothermal - Direct Use (Millions of BTUs)"
"15238","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Geothermal","Geoth","Geothermal","Geothermal - Direct Use (Millions of Gallons)"
"15239","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Geothermal","Geoth","Geothermal","Geothermal - Electrical Generation (Kilowatt Hours)"
"15240","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Geothermal","Geoth","Geothermal","Geothermal - Electrical Generation (Other)"
"15241","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Geothermal","Geoth","Geothermal","Geothermal - Electrical Generation (Thousands of Pounds)"
"15242","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Geothermal","Geoth","Geothermal","Geothermal - Sulfur (tons)"
"15243","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gilsonite","Gilso","Gilsonite",""
"15244","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gilsonite","Gilso","Gilsonite","Gilsonite"
"15245","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gold","Gold","Gold",""
"15246","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gypsum","Gypsu","Gypsum",""
"15247","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gypsum","Gypsu","Gypsum","Gypsum"
"15248","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Clay","Clay","Hardrock","Clay"
"15249","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Coal","5","Hardrock","Coal-Bituminous-Processed"
"15250","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Copper","Coppe","Hardrock","Copper"
"15251","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Copper","Coppe","Hardrock","Copper Concentrate"
"15252","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gold","Gold","Hardrock","Gold"
"15253","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gold","Gold","Hardrock","Gold Ore"
"15254","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gold","Gold","Hardrock","Gold Placer"
"15255","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Hardrock","Hardr","Hardrock",""
"15256","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Hardrock","Hardr","Hardrock","Clay"
"15257","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Hardrock","Hardr","Hardrock","Copper Concentrate"
"15258","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Hardrock","Hardr","Hardrock","Lead Concentrate"
"15259","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Hardrock","Hardr","Hardrock","Limestone"
"15260","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Hardrock","Hardr","Hardrock","Quartz Crystal"
"15261","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Hardrock","Hardr","Hardrock","Zinc Concentrate"
"15262","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Lead","Lead","Hardrock","Lead Concentrate"
"15263","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Limestone","Limes","Hardrock","Limestone"
"15264","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Other","Other","Hardrock",""
"15265","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Quartz","Quart","Hardrock","Quartz Crystal"
"15266","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Silver","Silve","Hardrock","Silver"
"15267","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Wavellite","Wavel","Hardrock","Wavellite"
"15268","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Zinc","Zinc","Hardrock","Zinc Concentrate"
"15269","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Hot springs","Hot s","Hot Springs",""
"15270","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Limestone","Limes","Limestone",""
"15271","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Humate","Humat","Mining-Unspecified","Humate"
"15272","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Mining-unspecified","Minin","Mining-Unspecified",""
"15273","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Carbon dioxide","Carbo","Oil & Gas","Carbon Dioxide Gas (CO2)"
"15274","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Coal Bed Methane"
"15275","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Flared Gas Well Gas"
"15276","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Flared Oil Well Gas"
"15277","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Flash Gas"
"15278","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Flash Gas (mcf)"
"15279","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Fuel Gas"
"15280","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Gas Hydrate"
"15281","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Gas Lost - Flared or Vented"
"15282","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Gas Lost Prior to Royalty Measurement Point"
"15283","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Nitrogen"
"15284","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Pipeline Fuel/Loss"
"15285","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Processed (Residue) Gas"
"15286","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Unprocessed Gas"
"15287","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Unprocessed (Wet) Gas"
"15288","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Vented Gas Well Gas"
"15289","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","Oil & Gas","Vented Oil Well Gas"
"15290","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Geothermal","Geoth","Oil & Gas","Geothermal - Commercially Demineralized H2O"
