legacy_commodity_id,duplicate_no,legacy_fund_id,legacy_location_id,legacy_period_id,amount,unit,unit_abbr
15538,1,2601,87808,1756855,77934.25,"dollars","$"
15538,1,2635,87808,1756855,-1307.8,"dollars","$"
15206,1,2641,87812,1756855,-9.59,"dollars","$"
15538,1,2601,87812,1756855,168.23,"dollars","$"
15206,1,2641,87813,1756855,-227.54,"dollars","$"
15538,1,2601,87813,1756855,3991.99,"dollars","$"
15206,1,2641,87814,1756855,-3721.73,"dollars","$"
15538,1,2601,87814,1756855,65336.08,"dollars","$"
15538,1,2635,87814,1756855,-42.5,"dollars","$"
15206,1,2641,87816,1756855,-23.33,"dollars","$"
15538,1,2601,87816,1756855,868.18,"dollars","$"
15538,1,2635,87816,1756855,-458.94,"dollars","$"
15206,1,2641,87817,1756855,-1000.21,"dollars","$"
15538,1,2601,87817,1756855,17602.75,"dollars","$"
15538,1,2635,87817,1756855,-55.24,"dollars","$"
15206,1,2641,87820,1756855,-364.3,"dollars","$"
15538,1,2601,87820,1756855,6391.31,"dollars","$"
15206,1,2641,87904,1756855,-177.98,"dollars","$"
15538,1,2635,87904,1756855,3122.5,"dollars","$"
15206,1,2641,87994,1756855,-1008.37,"dollars","$"
15538,1,2601,87994,1756855,14810.01,"dollars","$"
15538,1,2635,87994,1756855,2880.75,"dollars","$"
15206,1,2641,88006,1756855,-132.65,"dollars","$"
15538,1,2601,88006,1756855,928.49,"dollars","$"
15538,1,2635,88006,1756855,1398.75,"dollars","$"
15206,1,2622,88255,1756855,386011.65,"dollars","$"
15529,1,2617,88255,1756855,245641.58,"dollars","$"
15529,1,2622,88255,1756855,10236763.99,"dollars","$"
15529,1,2627,88255,1756855,291903.88,"dollars","$"
15544,1,2617,88255,1756855,1742704.91,"dollars","$"
15544,1,2622,88255,1756855,198082.34,"dollars","$"
15547,1,2617,88255,1756855,11190553.47,"dollars","$"
15547,1,2622,88255,1756855,72643.03,"dollars","$"
15548,1,2617,88255,1756855,349.07,"dollars","$"
15549,1,2617,88255,1756855,55200910.33,"dollars","$"
15549,1,2622,88255,1756855,-480.86,"dollars","$"
15549,1,2653,89071,1756855,80161.1,"dollars","$"
15529,1,2625,89072,1756855,2630.38,"dollars","$"
15529,1,2653,89072,1756855,7.59,"dollars","$"
15547,1,2653,89072,1756855,95234.45,"dollars","$"
15549,1,2653,89072,1756855,448.25,"dollars","$"
15206,1,2653,89075,1756855,437.41,"dollars","$"
15529,1,2625,89075,1756855,321491.1,"dollars","$"
15547,1,2653,89075,1756855,-41679.96,"dollars","$"
15549,1,2653,89075,1756855,-280248.55,"dollars","$"
15529,1,2625,89076,1756855,-7923.89,"dollars","$"
15547,1,2653,89076,1756855,17887.73,"dollars","$"
15549,1,2625,89076,1756855,-185.24,"dollars","$"
15549,1,2653,89076,1756855,56487.5,"dollars","$"
15547,1,2653,89097,1756855,2469.48,"dollars","$"
15529,1,2625,89102,1756855,-414.57,"dollars","$"
15547,1,2653,89102,1756855,776.15,"dollars","$"
15206,1,2642,89122,1756855,-16642.98,"dollars","$"
15206,1,2652,89122,1756855,-122375.02,"dollars","$"
15529,1,2629,89122,1756855,5218.86,"dollars","$"
15547,1,2642,89122,1756855,675558.92,"dollars","$"
15549,1,2629,89122,1756855,38551.35,"dollars","$"
15549,1,2642,89122,1756855,1444243.93,"dollars","$"
15206,1,2642,89123,1756855,-956.42,"dollars","$"
15206,1,2652,89123,1756855,-2790.3,"dollars","$"
15529,1,2629,89123,1756855,0.09,"dollars","$"
15529,1,2642,89123,1756855,21.6,"dollars","$"
15544,1,2621,89123,1756855,2415,"dollars","$"
15544,1,2642,89123,1756855,43065.01,"dollars","$"
15547,1,2642,89123,1756855,2777.76,"dollars","$"
15549,1,2642,89123,1756855,1629.49,"dollars","$"
15206,1,2642,89124,1756855,-501.53,"dollars","$"
15206,1,2652,89124,1756855,-2901.37,"dollars","$"
15529,1,2621,89124,1756855,2863,"dollars","$"
15529,1,2629,89124,1756855,6184.8,"dollars","$"
15532,1,2629,89124,1756855,-0.31,"dollars","$"
15537,1,2642,89124,1756855,0.71,"dollars","$"
15547,1,2642,89124,1756855,42354.66,"dollars","$"
15533,1,2621,89125,1756855,-4,"dollars","$"
15533,1,2629,89125,1756855,-12,"dollars","$"
15533,1,2642,89125,1756855,16,"dollars","$"
15206,1,2629,89126,1756855,7.39,"dollars","$"
15206,1,2642,89126,1756855,-73081.27,"dollars","$"
15206,1,2652,89126,1756855,-202894.73,"dollars","$"
15529,1,2621,89126,1756855,752,"dollars","$"
15529,1,2629,89126,1756855,1469.82,"dollars","$"
15529,1,2642,89126,1756855,2955.87,"dollars","$"
15530,1,2621,89126,1756855,5143.5,"dollars","$"
15530,1,2629,89126,1756855,12191.03,"dollars","$"
15530,1,2642,89126,1756855,18694.84,"dollars","$"
15533,1,2621,89126,1756855,7750,"dollars","$"
15533,1,2629,89126,1756855,23591.27,"dollars","$"
15533,1,2642,89126,1756855,427343.75,"dollars","$"
15538,1,2642,89126,1756855,394278.02,"dollars","$"
15547,1,2642,89126,1756855,40224.77,"dollars","$"
15549,1,2642,89126,1756855,2697798.26,"dollars","$"
15206,1,2629,89135,1756855,0.03,"dollars","$"
15206,1,2642,89135,1756855,-185036.27,"dollars","$"
15206,1,2652,89135,1756855,-516844.25,"dollars","$"
15529,1,2621,89135,1756855,60161.44,"dollars","$"
15529,1,2629,89135,1756855,1517433.54,"dollars","$"
15529,1,2642,89135,1756855,1491308.44,"dollars","$"
15533,1,2642,89135,1756855,54611.24,"dollars","$"
15544,1,2629,89135,1756855,2531.49,"dollars","$"
15544,1,2642,89135,1756855,1701650.07,"dollars","$"
15547,1,2642,89135,1756855,2809605.6,"dollars","$"
15549,1,2642,89135,1756855,1615177.3,"dollars","$"
15206,1,2642,89139,1756855,-4445.47,"dollars","$"
15206,1,2652,89139,1756855,-12416.19,"dollars","$"
15535,1,2621,89139,1756855,-1439.5,"dollars","$"
15535,1,2629,89139,1756855,1629,"dollars","$"
15535,1,2642,89139,1756855,222083.82,"dollars","$"
15206,1,2652,89144,1756855,-358.85,"dollars","$"
15549,1,2642,89144,1756855,6295.53,"dollars","$"
15206,1,2629,89146,1756855,5378.82,"dollars","$"
15206,1,2642,89146,1756855,-1400.27,"dollars","$"
15206,1,2652,89146,1756855,-4217.54,"dollars","$"
15529,1,2621,89146,1756855,43553.5,"dollars","$"
15529,1,2629,89146,1756855,-944.45,"dollars","$"
15547,1,2642,89146,1756855,6921.56,"dollars","$"
15549,1,2642,89146,1756855,20482.74,"dollars","$"
15206,1,2652,89147,1756855,-815.33,"dollars","$"
15529,1,2629,89147,1756855,13481.67,"dollars","$"
15547,1,2642,89147,1756855,406.88,"dollars","$"
15549,1,2642,89147,1756855,415.48,"dollars","$"
15206,1,2629,89148,1756855,118.68,"dollars","$"
15206,1,2642,89148,1756855,-4159.7,"dollars","$"
15206,1,2652,89148,1756855,-15999.54,"dollars","$"
15529,1,2621,89148,1756855,475.19,"dollars","$"
15529,1,2629,89148,1756855,475.06,"dollars","$"
15547,1,2642,89148,1756855,232164.54,"dollars","$"
15549,1,2642,89148,1756855,51620.06,"dollars","$"
15206,1,2642,89149,1756855,-46.38,"dollars","$"
15206,1,2652,89149,1756855,-138.74,"dollars","$"
15529,1,2629,89149,1756855,148.33,"dollars","$"
15547,1,2642,89149,1756855,2332.09,"dollars","$"
15206,1,2652,89151,1756855,-8146.92,"dollars","$"
15524,1,2642,89151,1756855,108856.43,"dollars","$"
15532,1,2621,89151,1756855,8518,"dollars","$"
15532,1,2629,89151,1756855,25554,"dollars","$"
15206,1,2642,89152,1756855,-20.13,"dollars","$"
15206,1,2652,89152,1756855,-2221.69,"dollars","$"
15529,1,2621,89152,1756855,3179.5,"dollars","$"
15529,1,2642,89152,1756855,1159.37,"dollars","$"
15547,1,2642,89152,1756855,1022.81,"dollars","$"
15549,1,2642,89152,1756855,33635.41,"dollars","$"
15206,1,2629,89153,1756855,14.75,"dollars","$"
15206,1,2642,89153,1756855,-96978.37,"dollars","$"
15206,1,2652,89153,1756855,-270861.41,"dollars","$"
15529,1,2621,89153,1756855,2858885.5,"dollars","$"
15529,1,2629,89153,1756855,14842.49,"dollars","$"
15529,1,2642,89153,1756855,77.08,"dollars","$"
15535,1,2621,89153,1756855,704.5,"dollars","$"
15535,1,2629,89153,1756855,1409,"dollars","$"
15544,1,2629,89153,1756855,46261.45,"dollars","$"
15544,1,2642,89153,1756855,1292531.13,"dollars","$"
15547,1,2642,89153,1756855,46935.39,"dollars","$"
15549,1,2642,89153,1756855,587271.73,"dollars","$"
15206,1,2642,89155,1756855,0,"dollars","$"
15206,1,2652,89155,1756855,-1072865.11,"dollars","$"
15529,1,2621,89155,1756855,15516413.75,"dollars","$"
15529,1,2629,89155,1756855,219513.21,"dollars","$"
15529,1,2642,89155,1756855,45312.15,"dollars","$"
15544,1,2621,89155,1756855,3480,"dollars","$"
15544,1,2642,89155,1756855,266927.24,"dollars","$"
15547,1,2642,89155,1756855,735994.4,"dollars","$"
15549,1,2642,89155,1756855,2034554.24,"dollars","$"
15206,1,2642,89156,1756855,-30.2,"dollars","$"
15206,1,2652,89156,1756855,-84.34,"dollars","$"
15529,1,2629,89156,1756855,380.25,"dollars","$"
15549,1,2642,89156,1756855,1129.63,"dollars","$"
15206,1,2629,89157,1756855,107542.44,"dollars","$"
15206,1,2642,89157,1756855,-4710629.47,"dollars","$"
15206,1,2652,89157,1756855,-13162918.05,"dollars","$"
15529,1,2621,89157,1756855,-821180.58,"dollars","$"
15529,1,2629,89157,1756855,8682925.49,"dollars","$"
15529,1,2642,89157,1756855,98847.07,"dollars","$"
15530,1,2642,89157,1756855,1063.03,"dollars","$"
15533,1,2642,89157,1756855,71392.72,"dollars","$"
15538,1,2621,89157,1756855,3114,"dollars","$"
15538,1,2642,89157,1756855,7492.12,"dollars","$"
15544,1,2621,89157,1756855,23775,"dollars","$"
15544,1,2629,89157,1756855,116091.35,"dollars","$"
15547,1,2629,89157,1756855,4291.26,"dollars","$"
15547,1,2642,89157,1756855,39387071.91,"dollars","$"
15549,1,2629,89157,1756855,9109.07,"dollars","$"
15549,1,2642,89157,1756855,187947481.31,"dollars","$"
15206,1,2642,89160,1756855,-8087.06,"dollars","$"
15206,1,2652,89160,1756855,-22587.16,"dollars","$"
15529,1,2621,89160,1756855,5858,"dollars","$"
15529,1,2629,89160,1756855,2308.5,"dollars","$"
15538,1,2621,89160,1756855,-6068.99,"dollars","$"
15538,1,2642,89160,1756855,345140.87,"dollars","$"
15549,1,2642,89160,1756855,57114.56,"dollars","$"
15206,1,2652,89173,1756855,-1229.72,"dollars","$"
15529,1,2621,89173,1756855,151.5,"dollars","$"
15529,1,2629,89173,1756855,1131.26,"dollars","$"
15547,1,2642,89173,1756855,14655.86,"dollars","$"
15549,1,2642,89173,1756855,5635.45,"dollars","$"
15206,1,2629,89174,1756855,9.93,"dollars","$"
15206,1,2642,89174,1756855,-6587.59,"dollars","$"
15206,1,2652,89174,1756855,-28023.49,"dollars","$"
15529,1,2621,89174,1756855,22538,"dollars","$"
15529,1,2629,89174,1756855,16478.63,"dollars","$"
15529,1,2642,89174,1756855,0.72,"dollars","$"
15532,1,2629,89174,1756855,-0.09,"dollars","$"
15537,1,2642,89174,1756855,0.09,"dollars","$"
15547,1,2642,89174,1756855,143833.14,"dollars","$"
15549,1,2642,89174,1756855,315367.17,"dollars","$"
15206,1,2642,89175,1756855,-124.9,"dollars","$"
15206,1,2652,89175,1756855,-348.85,"dollars","$"
15538,1,2621,89175,1756855,6245,"dollars","$"
15206,1,2652,89178,1756855,-6.46,"dollars","$"
15529,1,2629,89178,1756855,102.86,"dollars","$"
15547,1,2642,89178,1756855,10.56,"dollars","$"
15206,1,2642,89180,1756855,-487.68,"dollars","$"
15206,1,2652,89180,1756855,-1362.09,"dollars","$"
15529,1,2621,89180,1756855,0,"dollars","$"
15529,1,2642,89180,1756855,28.83,"dollars","$"
15547,1,2642,89180,1756855,396.94,"dollars","$"
15549,1,2642,89180,1756855,23958.31,"dollars","$"
15206,1,2642,89181,1756855,-381.79,"dollars","$"
15206,1,2652,89181,1756855,-11825.48,"dollars","$"
15529,1,2621,89181,1756855,858,"dollars","$"
15529,1,2629,89181,1756855,-15659.88,"dollars","$"
15529,1,2642,89181,1756855,23.06,"dollars","$"
15547,1,2642,89181,1756855,216599.77,"dollars","$"
15549,1,2642,89181,1756855,6025.42,"dollars","$"
15206,1,2629,89182,1756855,5.51,"dollars","$"
15206,1,2642,89182,1756855,-147385.38,"dollars","$"
15206,1,2652,89182,1756855,-412340.3,"dollars","$"
15529,1,2621,89182,1756855,53297.76,"dollars","$"
15529,1,2629,89182,1756855,368160.22,"dollars","$"
15529,1,2642,89182,1756855,4405.7,"dollars","$"
15530,1,2621,89182,1756855,1270.5,"dollars","$"
15530,1,2642,89182,1756855,6012.11,"dollars","$"
15531,1,2621,89182,1756855,20,"dollars","$"
15531,1,2629,89182,1756855,120,"dollars","$"
15531,1,2642,89182,1756855,62252.06,"dollars","$"
15533,1,2642,89182,1756855,127.47,"dollars","$"
15538,1,2621,89182,1756855,8559,"dollars","$"
15538,1,2642,89182,1756855,31477.08,"dollars","$"
15544,1,2621,89182,1756855,10249.5,"dollars","$"
15544,1,2642,89182,1756855,1803952.31,"dollars","$"
15547,1,2642,89182,1756855,2485291.62,"dollars","$"
15549,1,2642,89182,1756855,2546225.01,"dollars","$"
15206,1,2652,89187,1756855,-226.43,"dollars","$"
15529,1,2629,89187,1756855,2472.33,"dollars","$"
15547,1,2642,89187,1756855,1500.24,"dollars","$"
15206,1,2652,89191,1756855,-232.37,"dollars","$"
15529,1,2629,89191,1756855,3738.42,"dollars","$"
15547,1,2642,89191,1756855,338.3,"dollars","$"
15206,1,2629,89192,1756855,315.48,"dollars","$"
15206,1,2642,89192,1756855,-1042218.4,"dollars","$"
15206,1,2652,89192,1756855,-2910933.97,"dollars","$"
15529,1,2621,89192,1756855,105011.17,"dollars","$"
15529,1,2629,89192,1756855,2042161.13,"dollars","$"
15529,1,2642,89192,1756855,231654.18,"dollars","$"
15533,1,2621,89192,1756855,-3967.5,"dollars","$"
15533,1,2642,89192,1756855,926499.52,"dollars","$"
15544,1,2621,89192,1756855,9166,"dollars","$"
15544,1,2629,89192,1756855,3793.25,"dollars","$"
15544,1,2642,89192,1756855,13259009.41,"dollars","$"
15547,1,2629,89192,1756855,50.18,"dollars","$"
15547,1,2642,89192,1756855,12247165.4,"dollars","$"
15549,1,2642,89192,1756855,23290377.21,"dollars","$"
15206,2,2644,87319,1760286,19165.52,"dollars","$"
15206,1,3787,87319,1760286,1368510.38,"dollars","$"
15526,1,2636,87319,1760286,1824154,"dollars","$"
15529,2,2612,87319,1760286,321442.29,"dollars","$"
15529,1,2626,87319,1760286,80361.18,"dollars","$"
15529,1,2636,87319,1760286,3422383.36,"dollars","$"
15529,1,2638,87319,1760286,589092.05,"dollars","$"
15529,2,2640,87319,1760286,2356368.58,"dollars","$"
15529,2,2644,87319,1760286,7854866.79,"dollars","$"
15529,1,2648,87319,1760286,610.15,"dollars","$"
15529,1,4169,87319,1760286,5154005.15,"dollars","$"
15529,1,4171,87319,1760286,2208889.34,"dollars","$"
15547,1,2638,87319,1760286,874499.93,"dollars","$"
15547,1,2640,87319,1760286,3498006.14,"dollars","$"
15547,1,2644,87319,1760286,4488.01,"dollars","$"
15547,1,2648,87319,1760286,18133481.72,"dollars","$"
15549,1,2638,87319,1760286,15425078.88,"dollars","$"
15549,1,2640,87319,1760286,61700320.46,"dollars","$"
15549,1,2644,87319,1760286,104915.2,"dollars","$"
15549,1,2648,87319,1760286,363512657.74,"dollars","$"
15206,2,2644,87319,1764289,13246.32,"dollars","$"
15206,1,3787,87319,1764289,4435112.6,"dollars","$"
15526,1,2636,87319,1764289,1363061,"dollars","$"
15526,2,2644,87319,1764289,371608.92,"dollars","$"
15529,1,2612,87319,1764289,67758.6,"dollars","$"
15529,1,2626,87319,1764289,16939.65,"dollars","$"
15529,1,2636,87319,1764289,3961178.11,"dollars","$"
15529,1,2638,87319,1764289,-871999.94,"dollars","$"
15529,2,2640,87319,1764289,-3488000.23,"dollars","$"
15529,2,2644,87319,1764289,-5622099.69,"dollars","$"
15529,1,2648,87319,1764289,470.03,"dollars","$"
15529,1,4169,87319,1764289,5685102.47,"dollars","$"
15529,1,4171,87319,1764289,2436506.36,"dollars","$"
15547,1,2638,87319,1764289,892826.59,"dollars","$"
15547,1,2640,87319,1764289,3571312.53,"dollars","$"
15547,1,2644,87319,1764289,5677.54,"dollars","$"
15547,1,2648,87319,1764289,15014165.44,"dollars","$"
15549,1,2638,87319,1764289,15255208,"dollars","$"
15549,1,2640,87319,1764289,61020838.85,"dollars","$"
15549,1,2644,87319,1764289,37894.3,"dollars","$"
15549,1,2648,87319,1764289,308815176.56,"dollars","$"
15206,4,2607,87324,1760286,90542.16,"dollars","$"
15206,1,2618,87324,1760286,0.02,"dollars","$"
15206,1,2633,87324,1760286,6967184.66,"dollars","$"
15524,1,3791,87324,1760286,241635.62,"dollars","$"
15528,1,3791,87324,1760286,58885.74,"dollars","$"
15529,2,2607,87324,1760286,3543003.39,"dollars","$"
15529,1,2616,87324,1760286,1088686.45,"dollars","$"
15529,1,2618,87324,1760286,12932754.63,"dollars","$"
15529,1,2633,87324,1760286,299214.68,"dollars","$"
15529,1,2639,87324,1760286,8288131.6,"dollars","$"
15529,2,2647,87324,1760286,2089780.9,"dollars","$"
15529,1,3778,87324,1760286,262439.37,"dollars","$"
15529,1,3783,87324,1760286,382.21,"dollars","$"
15529,1,3785,87324,1760286,263.46,"dollars","$"
15529,1,3788,87324,1760286,11.79,"dollars","$"
15529,1,3790,87324,1760286,189.31,"dollars","$"
15529,1,3791,87324,1760286,74275.07,"dollars","$"
15529,1,3794,87324,1760286,1212273.56,"dollars","$"
15529,1,3795,87324,1760286,1534,"dollars","$"
