legacy_commodity_id,duplicate_no,legacy_location_id,legacy_period_id,volume,unit,unit_abbr
15399,1,88076,25926,5017389,"bbl","bbl"
15400,1,88076,25926,25646056,"mcf","mcf"
15398,1,88076,25927,1275026,"tons","tons"
15399,1,88076,25927,5194257,"bbl","bbl"
15400,1,88076,25927,26132015,"mcf","mcf"
15398,1,88076,25928,1386837,"tons","tons"
15399,1,88076,25928,5379613,"bbl","bbl"
15400,1,88076,25928,25440086,"mcf","mcf"
15398,1,88076,25929,1270347,"tons","tons"
15399,1,88076,25929,5005132,"bbl","bbl"
15400,1,88076,25929,23198581,"mcf","mcf"
15398,1,88076,25930,994299,"tons","tons"
15399,1,88076,25930,5662076,"bbl","bbl"
15400,1,88076,25930,26031609,"mcf","mcf"
15398,1,88076,25931,1006718,"tons","tons"
15399,1,88076,25931,5534237,"bbl","bbl"
15400,1,88076,25931,25376863,"mcf","mcf"
15398,1,88076,25932,1133016,"tons","tons"
15399,1,88076,25932,5783450,"bbl","bbl"
15400,1,88076,25932,27027754,"mcf","mcf"
15398,1,88076,25933,1211408,"tons","tons"
15399,1,88076,25933,5858661,"bbl","bbl"
15400,1,88076,25933,26694950,"mcf","mcf"
15398,1,88076,25934,920473,"tons","tons"
15399,1,88076,25934,6046217,"bbl","bbl"
15400,1,88076,25934,27686253,"mcf","mcf"
15398,1,88076,25935,1203341,"tons","tons"
15399,1,88076,25935,6452450,"bbl","bbl"
15400,1,88076,25935,28402992,"mcf","mcf"
15398,1,88076,25936,958857,"tons","tons"
15399,1,88076,25936,6242045,"bbl","bbl"
15400,1,88076,25936,27607445,"mcf","mcf"
15398,1,88076,25937,1123323,"tons","tons"
15399,1,88076,25937,6587929,"bbl","bbl"
15400,1,88076,25937,29042672,"mcf","mcf"
15398,1,88076,25938,1147396,"tons","tons"
15399,1,88076,25938,6577770,"bbl","bbl"
15400,1,88076,25938,28889272,"mcf","mcf"
15398,1,88076,25939,1361183,"tons","tons"
15399,1,88076,25939,6763198,"bbl","bbl"
15400,1,88076,25939,30475804,"mcf","mcf"
15398,1,88076,25940,1354891,"tons","tons"
