calendar_year,corporate_name,revenue_agency_type,revenue_agency,revenue_type,commodity,commodity_order,raw_revenue,revenue
2014,POC-I LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$6,180.06",6180.06
2022,SEMPRA ENERGY,ONRR/BLM - Rents,ONRR/BLM,Rents,N/a,N/a,$314.00,314.00
2019,ENCANA CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$922.00,922.00
2023,ARB ENERGY UTAH LLC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$2,195.62",2195.62
2013,DOE RUN CO,ONRR/BLM - Rents,ONRR/BLM,Rents,Hardrock,Hardr,$700.00,700.00
2015,HESS CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$1,672.00",1672.00
2016,FMC CORP,ONRR - Royalties,ONRR,Royalties,Other commodities,Other,"$5,300,091.83",5300091.83
2017,ENCANA CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$729.00,729.00
2017,HESS CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$12,724,416.81",12724416.81
2021,BHP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$7,059,215.60",7059215.60
2022,CARBON CREEK ENERGY LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,N/a,N/a,"$4,326.00",4326.00
2016,SM ENERGY CO,ONRR - Royalties,ONRR,Royalties,Gas,2,"$894,868.16",894868.16
2015,J P INC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$252,311.56",252311.56
2015,POC-I LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$3,544.64",3544.64
2013,CLOUD PEAK ENERGY RESOURCES LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,Coal,5,"$100,997.00",100997.00
2013,POC-I LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$10,459.00",10459.00
2014,CHEVRON CORP,ONRR/BLM - Rents,ONRR/BLM,Rents,Coal,5,"$23,598.00",23598.00
2018,RESOLUTE ENERGY CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$729.00,729.00
2020,MESSER INDUSTRIE GMBH,ONRR - Royalties,ONRR,Royalties,Gas,2,$325.00,325.00
2021,ENERVEST LTD,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$1,744.00",1744.00
2013,FOREST OIL CORP,ONRR - Royalties,ONRR,Royalties,Oil,1,"$101,071.62",101071.62
2016,STATOIL,ONRR - Royalties,ONRR,Royalties,Oil,1,"$29,638,820.02",29638820.02
2018,SEELEY OIL CO,ONRR - Royalties,ONRR,Royalties,Oil,1,"$99,846.38",99846.38
2019,THE TERMO CO,ONRR - Royalties,ONRR,Royalties,Oil,1,"$248,711.28",248711.28
2013,KENNEDY OIL,ONRR - Royalties,ONRR,Royalties,Gas,2,"$82,409.09",82409.09
2013,TEXON LP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$220,384.94",220384.94
2014,FMC CORP,ONRR/BLM - Rents,ONRR/BLM,Rents,Sodium,Sodiu,"$25,039.00",25039.00
2015,BML INC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$2,646,876.16",2646876.16
2016,HUNT OIL CO,ONRR - Royalties,ONRR,Royalties,Gas,2,"$12,946.81",12946.81
2016,J P INC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$162,032.27",162032.27
2016,MACK ENERGY CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$274,039.91",274039.91
2016,STATOIL,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$2,142.60",2142.60
2016,TIMBERLINE PROD CO,ONRR - Royalties,ONRR,Royalties,Oil,1,"$115,766.59",115766.59
2017,DEVON ENERGY CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$729.00,729.00
2017,STATOIL,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$729.00,729.00
2017,TARPON,ONRR - Royalties,ONRR,Royalties,Gas,2,"$297,598.19",297598.19
2018,CRUX1 LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$1,991,033.96",1991033.96
2018,GRYNBERG JACK J,ONRR - Royalties,ONRR,Royalties,Gas,2,$755.91,755.91
2018,MCELVAIN ENERGY INC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$1,679.55",1679.55
2018,POC-I LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$1,831.51",1831.51
2018,WPX ENERGY INC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$12,097,575.73",12097575.73
2019,ASCENT ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,$994.53,994.53
2019,INPEX CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$42,936.30",42936.30
2019,TATA GROUP,ONRR/BLM - Rents,ONRR/BLM,Rents,Sodium,Sodiu,$835.00,835.00
2020,ENEL SPA,ONRR - Royalties,ONRR,Royalties,Gas,2,"$32,529.50",32529.50
2020,REPSOL SA,ONRR - Royalties,ONRR,Royalties,Gas,2,"$507,418.91",507418.91
2020,SCYTHIAN LTD,ONRR - Royalties,ONRR,Royalties,Gas,2,"$88,904.20",88904.20
2021,AGC INC,ONRR - Royalties,ONRR,Royalties,Soda ash,Soda ,"$745,066.58",745066.58
2021,GRIZZLY ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$385,090.32",385090.32
2021,NIRMA LTD,ONRR - Other Revenues,ONRR,Other Revenues,Sodium,Sodiu,$239.71,239.71
2022,CITIZEN ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$746,162.41",746162.41
2022,IBERDROLA S A,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$95,413.40",95413.40
2022,SOLVAY,ONRR - Other Revenues,ONRR,Other Revenues,Sodium,Sodiu,"$5,249.59",5249.59
2013,ABRAXAS PETROLEUM CORP,ONRR - Royalties,ONRR,Royalties,Oil,1,"$935,018.79",935018.79
2013,AERA ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$38,137,065.01",38137065.01
2013,ANADARKO MINERALS INC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$18,133.60",18133.60
2013,ANADARKO PETROLEUM CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$168,489,293.70",168489293.70
2013,ANGLO SUISSE OFFSHORE PARTNERS LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$36,643.61",36643.61
2013,ANADARKO PETROLEUM CORP,ONRR - Civil Penalties,ONRR,Civil Penalties,N/a,N/a,"$50,000.00",50000.00
2013,ANG CENTRAL LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$145,040.00",145040.00
2013,ANG CORTEZ LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$160,160.00",160160.00
2021,BXP LTD,ONRR - Royalties,ONRR,Royalties,Gas,2,"$254,904.78",254904.78
2021,BYRON ENERGY LTD,ONRR - Royalties,ONRR,Royalties,Gas,2,"$2,851,274.85",2851274.85
2014,B C OPERATING INC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$35,591.07",35591.07
2014,PETSEC ENERGY INC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$107,374.84",107374.84
2014,STATOIL,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$642.00,642.00
2017,ENSIGHT,ONRR - Royalties,ONRR,Royalties,Gas,2,"$538,164.99",538164.99
2021,FMC CORP,ONRR/BLM - Rents,ONRR/BLM,Rents,Phosphate,Phosp,$880.00,880.00
2022,CHIPCORE LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$63,612.78",63612.78
2022,DCOR LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$1,364,287.34",1364287.34
2022,MERIT ENERGY CO,ONRR/BLM - Rents,ONRR/BLM,Rents,N/a,N/a,"-$1,280.00",-1280.00
2013,ALTERNATIVE EARTH RESOURCES INC,ONRR/BLM - Rents,ONRR/BLM,Rents,Geothermal,Geoth,"$16,325.00",16325.00
2013,AMERICAN GILSONITE CO,ONRR - Other Revenues,ONRR,Other Revenues,Gilsonite,Gilso,"-$1,686.00",-1686.00
2013,AMERICAN GILSONITE CO,ONRR - Royalties,ONRR,Royalties,Other commodities,Other,"$2,888,852.49",2888852.49
2013,AMERICAN GILSONITE CO,ONRR/BLM - Rents,ONRR/BLM,Rents,Gilsonite,Gilso,$740.00,740.00
2013,ANTERO RESOURCES CORP,ONRR - Royalties,ONRR,Royalties,Oil,1,"$88,834.77",88834.77
2013,AMERICO ENERGY RESOURCES LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$20,391.81",20391.81
2022,XCL RESOURCES LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$61,907.48",61907.48
2016,ENERVEST LTD,ONRR - Royalties,ONRR,Royalties,Oil,1,"$541,663.27",541663.27
2016,THE MOSAIC CO,ONRR/BLM - Rents,ONRR/BLM,Rents,Potassium,Potas,"-$13,089.50",-13089.50
2017,CALYPSO EXPLORATION LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$39,242.39",39242.39
2017,POC-I LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$3,061.82",3061.82
2022,BP PLC,ONRR/BLM - Rents,ONRR/BLM,Rents,N/a,N/a,$72.00,72.00
2013,ENTREE GOLD US INC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$104,720.00",104720.00
2013,EOG RESOURCES INC,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$1,209.31",1209.31
2013,EOG RESOURCES INC,ONRR - Royalties,ONRR,Royalties,Other commodities,Other,"$96,917.37",96917.37
2013,EP MINERALS LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$129,620.00",129620.00
2013,EPL OIL & GAS INC,ONRR - Civil Penalties,ONRR,Civil Penalties,N/a,N/a,"$33,000.00",33000.00
2013,EUREKA MOLY LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$197,680.00",197680.00
2013,EVOLVING GOLD CORP,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$139,720.00",139720.00
2013,EXXON MOBIL CORP,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,$225.00,225.00
2013,EXXON MOBIL CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$856.00,856.00
2013,HELCA MINING CO,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$193,884.00",193884.00
2013,HESS CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$1,380.68",1380.68
2013,HESS CORP,ONRR - Royalties,ONRR,Royalties,Other commodities,Other,"$1,080,122.28",1080122.28
2013,HESTERS GRANITE CO,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$129,494.59",129494.59
2013,HIGH BAR MINING LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$119,653.00",119653.00
2013,HILCORP ENERGY CORP,ONRR - Civil Penalties,ONRR,Civil Penalties,N/a,N/a,"$260,000.00",260000.00
2013,INTREPID POTASH INC,BLM - Permit Fees,BLM,Permit Fees,Phosphate,Phosp,$60.00,60.00
2013,MCX GULF OF MEXICO LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$154,473.33",154473.33
2013,MEDCO ENERGI US LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$237,268.39",237268.39
2013,MERIT ENERGY CO,ONRR - Royalties,ONRR,Royalties,Gas,2,"$5,935,956.31",5935956.31
2013,MCCOY ELKHORN COAL CORP,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,5,"$113,449.79",113449.79
2014,ENTEK GRB LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,$108.57,108.57
2013,MCELROY COAL CO,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,5,"$1,083,715.51",1083715.51
2013,MERIT ENERGY CO,ONRR - Royalties,ONRR,Royalties,Other commodities,Other,"$3,915.56",3915.56
2013,METALLIC GOLDFIELD INC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$142,824.00",142824.00
2013,M-I LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$100,068.00",100068.00
2013,PEABODY ENERGY CORP,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,$171.36,171.36
2013,PEABODY ENERGY CORP,OSMRE - Civil Penalties including Late Charges,OSMRE,Civil Penalties including Late Charges,N/a,N/a,"$2,760.00",2760.00
2013,PEAKE LAND SERVICES LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$137,760.00",137760.00
2013,PACIFIC OPERATORS OFFSHORE LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$147,093.27",147093.27
2013,PAR MINERALS CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$120,500.91",120500.91
2013,PAR PETROLEUM CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"-$26,269.23",-26269.23
2013,PEABODY ENERGY CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$2,557.74",2557.74
2013,PEAK POWDER RIVER RESOURCES LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$3,978.98",3978.98
2013,PACIFICORP,ONRR - Other Revenues,ONRR,Other Revenues,Coal,5,$190.69,190.69
2013,ROBINSON NEVADA MINING CO,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$149,730.00",149730.00
2013,ROCK SPRINGS MINERAL PROCESSING,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$159,323.00",159323.00
2013,ROSEMONT COPPER CO,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$148,589.00",148589.00
2013,ROSETTA RESOURCES OPERATING LP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$761.00,761.00
2013,ROUND MOUNTAIN GOLD CORP,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$558,800.00",558800.00
2017,SOURCEGAS,ONRR - Royalties,ONRR,Royalties,Gas,2,$281.81,281.81
2013,RR EXPLORATION LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$216,132.00",216132.00
2013,RYE PATCH GOLD US INC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$154,310.00",154310.00
2013,SWEATT CONSTRUCTION INC,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$271,456.50",271456.50
2013,TARPON,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$209.82,209.82
2013,THE ANSCHUTZ CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$214.00,214.00
2013,THE MOSAIC CO,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$5,976.00",5976.00
2014,CHEVRON CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$121,473,035.10",121473035.10
2014,CHEYENNE RIVER LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$62,089.27",62089.27
2014,CHI OPERATING CO,ONRR - Royalties,ONRR,Royalties,Gas,2,"$177,157.49",177157.49
2014,CHIPCORE LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$99,498.60",99498.60
2014,CHISOS LTD,ONRR - Royalties,ONRR,Royalties,Gas,2,"$47,094.53",47094.53
2014,CHEVRON CORP,ONRR - Other Revenues,ONRR,Other Revenues,Coal,5,$102.71,102.71
2014,CITY OF SANTA FE,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$107,770.85",107770.85
2014,CLARK COUNTY - NEVADA,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$966,516.00",966516.00
2014,CLOUD PEAK ENERGY RESOURCES LLC,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$131,350.14",131350.14
2014,DODGE HILL MINING CO LLC,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,5,"$108,985.20",108985.20
2014,DUKE CITY REDI-MIX,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$126,278.97",126278.97
2014,EC OFFSHORE PROPERTIES INC,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$256.59,256.59
2014,EGL RESOURCES INC,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$436.00,436.00
2014,DORADO OIL CO,ONRR - Royalties,ONRR,Royalties,Oil,1,"$658,979.58",658979.58
2014,DOUBLE EAGLE PETROLEUM CO,ONRR - Royalties,ONRR,Royalties,Gas,2,"$4,178,225.57",4178225.57
2014,DUGAN PRODUCTION CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$2,816,654.45",2816654.45
2014,E&B NATURAL RESOURCES MANAGEMENT CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$158,914.62",158914.62
2014,ENCAMPMENT MINERALS INC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$312,015.00",312015.00
2014,ENERGY FUELS RESOURCES USA INC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$478,395.00",478395.00
2014,EPL OIL & GAS INC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$13,084,078.11",13084078.11
2014,EQUITABLE RESOURCES INC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$39,187.57",39187.57
2014,EXXON MOBIL CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$108,416,899.70",108416899.70
2014,FIELDWOOD ENERGY LLC,ONRR - Civil Penalties,ONRR,Civil Penalties,N/a,N/a,"$1,090,000.00",1090000.00
2014,FIELDWOOD ENERGY LLC,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$4,899.67",4899.67
2014,FINLEY RESOURCES INC,ONRR - Civil Penalties,ONRR,Civil Penalties,N/a,N/a,"$81,952.00",81952.00
2014,FLORIDA CANYON MINING INC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$135,935.00",135935.00
2014,FRANCO-NEVADA - BALD MOUNTAIN MINE,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$100,000.00",100000.00
2014,SEARLES VALLEY MINERALS,ONRR - Other Revenues,ONRR,Other Revenues,Sodium,Sodiu,$23.11,23.11
2014,SEARLES VALLEY MINERALS,ONRR - Royalties,ONRR,Royalties,Other commodities,Other,"$7,843,802.14",7843802.14
2014,TEXLAND PETROLEUM LP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$90,436.82",90436.82
2014,SEARLES VALLEY MINERALS,ONRR/BLM - Rents,ONRR/BLM,Rents,Sodium,Sodiu,"$10,497.00",10497.00
2014,SERVICE ROCK PRODUCTS,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$125,966.06",125966.06
2014,SHAMROCK METALS LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$121,675.00",121675.00
2014,THE ANSCHUTZ CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$297,913.04",297913.04
2014,THE AMERICAN COAL CO,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,5,"$1,193,968.34",1193968.34
2014,THE MOSAIC CO,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$214.00,214.00
2014,THE MOSAIC CO,ONRR - Other Revenues,ONRR,Other Revenues,Phosphate,Phosp,"$1,980.51",1980.51
2014,THE MOSAIC CO,ONRR - Other Revenues,ONRR,Other Revenues,Potassium,Potas,"$135,173.44",135173.44
2014,THE MOSAIC CO,ONRR - Royalties,ONRR,Royalties,Other commodities,Other,"$11,906,397.88",11906397.88
2014,THE MOSAIC CO,ONRR/BLM - Rents,ONRR/BLM,Rents,Potassium,Potas,"$1,578.91",1578.91
2014,THOMPSON CREEK METALS CO INC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$267,840.00",267840.00
2014,THOMPSON ENGR & PROD CORP,ONRR - Civil Penalties,ONRR,Civil Penalties,N/a,N/a,"$2,112.00",2112.00
2014,WPX ENERGY INC,ONRR - Royalties,ONRR,Royalties,Other commodities,Other,"$8,629.22",8629.22
2014,UNITED SALT CORP,ONRR - Other Revenues,ONRR,Other Revenues,Potassium,Potas,$98.87,98.87
2015,BERENERGY CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$80,019.27",80019.27
2015,CLOUD PEAK ENERGY RESOURCES LLC,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$153,527.68",153527.68
2015,CLOVER NEVADA LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$1,255,123.00",1255123.00
2015,COCHON PROPERTIES LLC,ONRR - Civil Penalties,ONRR,Civil Penalties,N/a,N/a,"$40,000.00",40000.00
2015,COCHON PROPERTIES LLC,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$335.52,335.52
2015,COEUR MINING INC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$160,115.00",160115.00
2015,"COMPANIES BELOW $100,000 THRESHOLD",BLM - Permit Fees,BLM,Permit Fees,Geothermal,Geoth,"$3,340.94",3340.94
2015,"COMPANIES BELOW $100,000 THRESHOLD",BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$20,366,015.76",20366015.76
2015,"COMPANIES BELOW $100,000 THRESHOLD",BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$3,816,690.61",3816690.61
2015,DEVON ENERGY CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$1,358.00",1358.00
2015,ENERVEST LTD,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$507.60,507.60
2015,ENSCO INTERNATIONAL CO,ONRR - Civil Penalties,ONRR,Civil Penalties,N/a,N/a,"$107,000.00",107000.00
2015,ENTERPRISE PRODUCTS PARTNERS LP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$243.00,243.00
2015,ENTREE GOLD US INC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$152,878.00",152878.00
2015,ENVEN ENERGY VENTURES LLC,ONRR - Civil Penalties,ONRR,Civil Penalties,N/a,N/a,"$40,000.00",40000.00
2015,ENVEN ENERGY VENTURES LLC,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$258.49,258.49
2015,EOG RESOURCES INC,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$1,458.00",1458.00
2015,EOG RESOURCES INC,ONRR - Royalties,ONRR,Royalties,Other commodities,Other,"$191,676.07",191676.07
2015,HAZLETON SHAFT CORP,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,5,"$105,556.92",105556.92
2015,HESS CORP,ONRR - Royalties,ONRR,Royalties,Other commodities,Other,"$521,725.46",521725.46
2015,HESTERS GRANITE CO,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$330,873.72",330873.72
2015,HILCORP ENERGY CORP,ONRR - Civil Penalties,ONRR,Civil Penalties,N/a,N/a,"$130,000.00",130000.00
2015,HOACTZIN PARTNERS LP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$1,775.54",1775.54
2015,HOMESTAKE MINING CO OF CALIFORNIA,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$133,920.00",133920.00
2015,HYCROFT RESOURCES & DEVELOPMENT INC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$517,887.00",517887.00
2015,IMERYS,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$161,820.00",161820.00
2015,IMPERIAL USA CORP,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$101,680.00",101680.00
2015,INTREPID POTASH INC,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$176,247.95",176247.95
2015,HILCORP ENERGY CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$7,385,637.61",7385637.61
2015,HOACTZIN PARTNERS LP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$201,035.45",201035.45
2015,HOGBACK EXPLORATION INC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$108,150.81",108150.81
2015,HOLMES WESTERN OIL CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$34,073.59",34073.59
2015,HOWARD ENERGY CO INC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$22,704.46",22704.46
2015,HUNT OIL CO,ONRR - Royalties,ONRR,Royalties,Gas,2,"$54,297.37",54297.37
2015,HUNTINGTON ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$1,449,734.46",1449734.46
2015,LONE MOUNTAIN PRODUCTION CO,ONRR - Royalties,ONRR,Royalties,Gas,2,"$137,841.35",137841.35
2015,M21K LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$6,197,881.07",6197881.07
2015,MACK ENERGY CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$334,408.96",334408.96
2015,LUMINANT MINING CO LLC,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,5,"$2,085,439.35",2085439.35
2015,MACOUPIN ENERGY LLC,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,5,"$233,502.23",233502.23
2015,MARIGOLD MINING CO,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$108,952.00",108952.00
2015,MARITECH RESOURCES INC,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,-$86.28,-86.28
2015,PEAK MINERALS INC,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$10,000.00",10000.00
2015,PEAK MINERALS INC,ONRR - Other Revenues,ONRR,Other Revenues,Potassium,Potas,"$287,457.00",287457.00
2015,PEAK MINERALS INC,ONRR/BLM - Rents,ONRR/BLM,Rents,Potassium,Potas,"$95,819.00",95819.00
2015,PERSHING GOLD CORP,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$131,285.00",131285.00
2015,PETE LIEN & SONS INC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$81,854.00",81854.00
2015,PETE LIEN & SONS INC,BLM - Permit Fees,BLM,Permit Fees,Mineral materials,Miner,"$20,284.38",20284.38
2015,PETROQUEST ENERGY LLC,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$425.03,425.03
2015,SAGA PETROLEUM,ONRR - Royalties,ONRR,Royalties,Gas,2,"$305,242.57",305242.57
2015,SOLVAY,ONRR - Other Revenues,ONRR,Other Revenues,Phosphate,Phosp,"$7,125.00",7125.00
2015,SOLVAY,ONRR - Other Revenues,ONRR,Other Revenues,Sodium,Sodiu,"$68,982.00",68982.00
2015,SOLVAY,ONRR - Royalties,ONRR,Royalties,Other commodities,Other,"$9,886,321.07",9886321.07
2015,SOUTHWESTERN ENERGY PRODUCTION CO,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$436.00,436.00
2015,STAKEHOLDER ENERGY LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable minerals,Locat,"$312,790.00",312790.00
2015,STANDARD STEAM TRUST LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,Geothermal,Geoth,"$116,403.00",116403.00
2015,STATOIL,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$3,707.25",3707.25
2015,STEPHENS PRODUCTION CO,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$243.00,243.00
